Formant Frequencies (Hz)
346.148266654927
681.3894965536252
1530.4893288017188
2800.429382491968
3160.7866471160296
4108.407175488533
5134.452380977468
5509.030224335711
7329.926339239647
8811.41320134313
10024.597967385958
10568.171655905307
11505.622440527644
12956.936958662938
13609.868203821346
14517.32920030091
16595.163005271632
16738.73066294898
17757.78404419533
18888.932548714936
19423.924321720275
20582.436060789976
21514.88386847438
21998.095140554662
23423.456312624272
